"freq,nrg_bal,siec,unit,geo\TIME_PERIOD"	2021	2022	2023	2024
"A,DL,C0379,TJ_GCV,LU"	0	0	0	0
"A,DL,C0379,TJ_GCV,LV"	0	0	0	0
"A,DL,C0379,TJ_GCV,MD"	0	0	0	0
"A,DL,C0379,TJ_GCV,ME"	0	0	0	0
"A,DL,C0379,TJ_GCV,MK"	0	0	0	0
"A,DL,C0379,TJ_GCV,MT"	0	0	0	0
"A,DL,C0379,TJ_GCV,NL"	0	0	0	0
"A,DL,C0379,TJ_GCV,NO"	0	0	0	0
"A,DL,C0379,TJ_GCV,PL"	0	0	0	0
"A,DL,C0379,TJ_GCV,PT"	0	0	0	0
"A,DL,C0379,TJ_GCV,RO"	0	0	0	0
"A,DL,C0379,TJ_GCV,RS"	0	0	0	0
"A,DL,C0379,TJ_GCV,SE"	0	0	0	0
"A,DL,C0379,TJ_GCV,SI"	0	0	0	0
"A,DL,C0379,TJ_GCV,SK"	725	412	535	528
"A,DL,C0379,TJ_GCV,TR"	0	0	0	0
"A,DL,C0379,TJ_GCV,UA"	: 	: 	: 	: 
"A,DL,C0379,TJ_GCV,UK"	: 	: 	: 	: 
"A,DL,C0379,TJ_GCV,XK"	0	0	0	0
"A,DL,G3000,TJ_GCV,AL"	: 	0	0	0
"A,DL,G3000,TJ_GCV,AT"	0	0	0	0
"A,DL,G3000,TJ_GCV,BA"	: 	0	0	: 
"A,DL,G3000,TJ_GCV,BE"	953.2	954.8	962.2	962.2
"A,DL,G3000,TJ_GCV,BG"	0	0	0	0
"A,DL,G3000,TJ_GCV,CY"	: 	0	0	0
"A,DL,G3000,TJ_GCV,CZ"	0	0	3484.937	2404.321
"A,DL,G3000,TJ_GCV,DE"	0	0	1042.88	1051.146
"A,DL,G3000,TJ_GCV,DK"	0	0	0	0
"A,DL,G3000,TJ_GCV,EA20"	8767.665	12387.727	13392.416	17522.764
"A,DL,G3000,TJ_GCV,EA21"	8767.665	12387.727	13392.416	17522.764
"A,DL,G3000,TJ_GCV,EE"	53.864	163.849	194.095	0
"A,DL,G3000,TJ_GCV,EL"	0	0	58.954	: 
