"freq,stk_flow,siec,unit,geo\TIME_PERIOD"	2022	2023	2024
"A,STKCL_CG,G3000,TJ_GCV,BG"	28671.3	28671.3	28671.3
"A,STKCL_CG,G3000,TJ_GCV,CY"	0	0	0
"A,STKCL_CG,G3000,TJ_GCV,CZ"	48265.4	59787.841	59787.841
"A,STKCL_CG,G3000,TJ_GCV,DE"	547859.376	547859.376	547859.376
"A,STKCL_CG,G3000,TJ_GCV,DK"	54929.736	54867.978	52783.448
"A,STKCL_CG,G3000,TJ_GCV,EA20"	2151634.406	2151634.406	2151634.406
"A,STKCL_CG,G3000,TJ_GCV,EA21"	2180305.706	2180305.706	2180305.706
"A,STKCL_CG,G3000,TJ_GCV,EE"	0	0	0
"A,STKCL_CG,G3000,TJ_GCV,EL"	0	0	: 
"A,STKCL_CG,G3000,TJ_GCV,ES"	137530.584	137530.584	137530.584
"A,STKCL_CG,G3000,TJ_GCV,EU27_2020"	2770079.521	2781652.803	2779511.173
"A,STKCL_CG,G3000,TJ_GCV,FI"	0	0	0
"A,STKCL_CG,G3000,TJ_GCV,FR"	0	0	0
"A,STKCL_CG,G3000,TJ_GCV,GE"	0	0	0
"A,STKCL_CG,G3000,TJ_GCV,HR"	0	0	0
"A,STKCL_CG,G3000,TJ_GCV,HU"	236054	236183	236130
"A,STKCL_CG,G3000,TJ_GCV,IE"	0	0	0
"A,STKCL_CG,G3000,TJ_GCV,IS"	: 	0	: 
"A,STKCL_CG,G3000,TJ_GCV,IT"	0	0	0
"A,STKCL_CG,G3000,TJ_GCV,LI"	0	0	: 
"A,STKCL_CG,G3000,TJ_GCV,LT"	0	0	0
"A,STKCL_CG,G3000,TJ_GCV,LU"	0	0	0
"A,STKCL_CG,G3000,TJ_GCV,LV"	81.979	81.979	81.979
"A,STKCL_CG,G3000,TJ_GCV,MD"	0	0	0
"A,STKCL_CG,G3000,TJ_GCV,ME"	0	0	0
"A,STKCL_CG,G3000,TJ_GCV,MK"	0	0	0
"A,STKCL_CG,G3000,TJ_GCV,MT"	0	0	0
