Geopolitical Entity,Year,Sector,Level_Sankey,Lifecycle Step,Source,Target,Flow,Unit,Value (THOUSAND TONNES),Value C (TONNES),,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Exports,Roundwood,Roundwood exports,Forestry biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Exports,Roundwood,Roundwood exports,Forestry biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Exports,Solid wood products,Solid wood products exports,Forestry biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Exports,Solid wood products,Solid wood products exports,Forestry biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Exports,Wood pulp,Wood pulp exports,Forestry biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Exports,Wood pulp,Wood pulp exports,Forestry biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Imports,By-products imports,By-products,Forestry biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Imports,By-products imports,By-products,Forestry biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Imports,Roundwood imports,Roundwood,Forestry biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Imports,Roundwood imports,Roundwood,Forestry biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Imports,Solid wood products imports,Solid wood products,Forestry biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Imports,Solid wood products imports,Solid wood products,Forestry biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Imports,Wood pellets imports,Energy (prev. node),Forestry biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Imports,Wood pellets imports,Energy (prev. node),Forestry biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Imports,Wood pulp imports,Wood pulp,Forestry biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Imports,Wood pulp imports,Wood pulp,Forestry biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Inner uses,By-products,Unreported uses,Forestry biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Inner uses,By-products,Unreported uses,Forestry biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Inner uses,Energy (prev. node),Energy,Forestry biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Inner uses,Energy (prev. node),Energy,Forestry biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Inner uses,Material industry,By-products,Forestry biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Inner uses,Material industry,By-products,Forestry biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Inner uses,Material industry,Solid wood products,Forestry biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Inner uses,Material industry,Solid wood products,Forestry biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Inner uses,Material industry,Wood pulp,Forestry biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Inner uses,Material industry,Wood pulp,Forestry biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Inner uses,Roundwood,Unreported uses,Forestry biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Inner uses,Roundwood,Unreported uses,Forestry biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Inner uses,Unreported by-products,By-products,Forestry biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Inner uses,Unreported by-products,By-products,Forestry biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Inner uses,Unreported roundwood,Roundwood,Forestry biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Inner uses,Unreported roundwood,Roundwood,Forestry biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Production,Domestic roundwood,Roundwood,Forestry biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Production,Domestic roundwood,Roundwood,Forestry biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Reuses,By-products,Energy (prev. node),Forestry biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
